addr,token,result
0x00108,0xb4000060,"cbz x0, 0x114"
0x0010c,0x39400002,"ldrb w2, [x0]"
0x00110,0x35000082,"cbnz w2, 0x120"
0x00114,0xa94153f3,"ldp x19, x20, [sp, #0x10]"
0x00118,0xf0000394,"adrp x20, 0x73000"
0x0011c,0xaa0003e3,"mov x3, x0"
0x00120,0xd00002a2,"adrp x2, 0x56000"
0x00124,0x2a0103f3,"mov w19, w1"
0x00128,0x91118042,"add x2, x2, #0x460"
0x0012c,0x52800021,"mov w1, #0x1"
0x00130,0xf9476a94,"ldr x20, [x20, #0xed0]"
0x00134,0xf9400280,"ldr x0, [x20]"
0x00138,0x97fffd54,"bl 0xfffffffffffff688"
0x0013c,0x3100067f,"cmn w19, #0x1"
0x00140,0x54fffe60,"b.eq 0x10c"
0x00144,0x2a1303e3,"mov w3, w19"
0x00148,0x9111a042,"add x2, x2, #0x468"
0x0014c,0x17fffd4a,"b 0xfffffffffffff674"
0x00150,0xf9000fa2,"str x2, [x29, #0x18]"
0x00154,0x97fffdf6,"bl 0xfffffffffffff92c"
0x00158,0xf0000380,"adrp x0, 0x73000"
0x0015c,0xf9400fa2,"ldr x2, [x29, #0x18]"
0x00160,0xaa0203e3,"mov x3, x2"
0x00164,0xf9476800,"ldr x0, [x0, #0xed0]"
0x00168,0x9111c042,"add x2, x2, #0x470"
0x0016c,0xf9400000,"ldr x0, [x0]"
0x00170,0x97fffd3d,"bl 0xfffffffffffff664"
0x00174,0x97fffce8,"bl 0xfffffffffffff514"
0x00178,0xd2800004,"mov x4, #0x0"
0x0017c,0xb200f3e3,"orr x3, xzr, #0x5555555555555555"
0x00180,0x97fffb5b,"bl 0xffffffffffffeeec"
0x00184,0x92400400,"and x0, x0, #0x3"
0x00188,0xaa0303e4,"mov x4, x3"
0x0018c,0xaa0103e2,"mov x2, x1"
0x00190,0xd2800001,"mov x1, #0x0"
0x00194,0x17fffdb3,"b 0xfffffffffffff860"
0x00198,0x17fffaca,"b 0xffffffffffffecc0"
0x0019c,0xf0000382,"adrp x2, 0x73000"
0x001a0,0x52800144,"mov w4, #0xa"
0x001a4,0xf0000381,"adrp x1, 0x73000"
0x001a8,0xf0000383,"adrp x3, 0x73000"
0x001ac,0xf9477c42,"ldr x2, [x2, #0xef8]"
0x001b0,0xf9479421,"ldr x1, [x1, #0xf28]"
0x001b4,0xf9477863,"ldr x3, [x3, #0xef0]"
0x001b8,0xb9400045,"ldr w5, [x2]"
0x001bc,0xb9400022,"ldr w2, [x1]"
0x001c0,0x1ac50c84,"sdiv w4, w4, w5"
0x001c4,0x2a020000,"orr w0, w0, w2"
0x001c8,0xb9000064,"str w4, [x3]"
0x001cc,0xb9000020,"str w0, [x1]"
0x001d0,0x97fffcca,"bl 0xfffffffffffff4f8"
0x001d4,0x52800080,"mov w0, #0x4"
0x001d8,0x97ffff32,"bl 0xfffffffffffffea0"
0x001dc,0x52800040,"mov w0, #0x2"
0x001e0,0x97ffff2e,"bl 0xfffffffffffffe98"
0x001e4,0x1e602008,"fcmp d0, #0.0"
0x001e8,0xaa0003e5,"mov x5, x0"
0x001ec,0x540000a1,"b.ne 0x200"
0x001f0,0xf900001f,"str xzr, [x0]"
0x001f4,0x52800000,"mov w0, #0x0"
0x001f8,0xf90004bf,"str xzr, [x5, #0x8]"
0x001fc,0x9e660001,"fmov x1, d0"
0x00200,0xd374f822,"ubfx x2, x1, #0x34, #0xb"
0x00204,0xd375cc21,"ubfizx1, x1, #0xb, #0x34"
0x00208,0xb2410021,"orr x1, x1, #-0x8000000000000000"
0x0020c,0xb50000a2,"cbnz x2, 0x220"
0x00210,0xd2800022,"mov x2, #0x1"
0x00214,0xab010021,"adds x1, x1, x1"
0x00218,0xd1000442,"sub x2, x2, #0x1"
0x0021c,0x54ffffc5,"b.pl 0x214"
0x00220,0xb1300840,"adds x0, x2, #0xc02"
0x00224,0xd10ff843,"sub x3, x2, #0x3fe"
0x00228,0x91310442,"add x2, x2, #0xc41"
0x0022c,0x9a804042,"csel x2, x2, x0, mi"
0x00230,0x72001464,"ands w4, w3, #0x3f"
0x00234,0x9346fc43,"asr x3, x2, #0x6"
0x00238,0x540000e1,"b.ne 0x254"
0x0023c,0xd1010062,"sub x2, x3, #0x40"
0x00240,0xd2800003,"mov x3, #0x0"
0x00244,0xf90000a3,"str x3, [x5]"
0x00248,0x2a0203e0,"mov w0, w2"
0x0024c,0xf90004a1,"str x1, [x5, #0x8]"
0x00250,0x52800800,"mov w0, #0x40"
0x00254,0xd100fc62,"sub x2, x3, #0x3f"
0x00258,0x4b040000,"sub w0, w0, w4"
0x0025c,0x9ac42023,"lsl x3, x1, x4"
0x00260,0x9ac02421,"lsr x1, x1, x0"
0x00264,0x17fffff7,"b 0x240"
0x00268,0x52800100,"mov w0, #0x8"
0x0026c,0x97fffa63,"bl 0xffffffffffffebf8"
0x00270,0x97fffc9a,"bl 0xfffffffffffff4d8"
0x00274,0x17fffd45,"b 0xfffffffffffff788"
0x00278,0xaa0003f3,"mov x19, x0"
0x0027c,0x97fffb68,"bl 0xfffffffffffff01c"
0x00280,0xaa1303e3,"mov x3, x19"
0x00284,0x91124042,"add x2, x2, #0x490"
0x00288,0x97fffcdc,"bl 0xfffffffffffff5f8"
0x0028c,0x97fffc87,"bl 0xfffffffffffff4a8"
0x00290,0xa9bd7bfd,"stp x29, x30, [sp, #-0x30]!"
0x00294,0xaa0103f3,"mov x19, x1"
0x00298,0xaa0203e1,"mov x1, x2"
0x0029c,0xf90017a2,"str x2, [x29, #0x28]"
0x002a0,0x97fffc34,"bl 0xfffffffffffff370"
0x002a4,0xf94017a2,"ldr x2, [x29, #0x28]"
0x002a8,0xa8c37bfd,"ldp x29, x30, [sp], #0x30"
0x002ac,0xaa0203e4,"mov x4, x2"
0x002b0,0x91130042,"add x2, x2, #0x4c0"
0x002b4,0x97fffcc6,"bl 0xfffffffffffff5cc"
0x002b8,0x97fffc71,"bl 0xfffffffffffff47c"
0x002bc,0xb40000a0,"cbz x0, 0x2d0"
0x002c0,0xf9477063,"ldr x3, [x3, #0xee0]"
0x002c4,0xf9400063,"ldr x3, [x3]"
0x002c8,0xf9000003,"str x3, [x0]"
0x002cc,0xf9475800,"ldr x0, [x0, #0xeb0]"
0x002d0,0xf9000020,"str x0, [x1]"
0x002d4,0xb40000a2,"cbz x2, 0x2e8"
0x002d8,0xf947d800,"ldr x0, [x0, #0xfb0]"
0x002dc,0xf9000040,"str x0, [x2]"
0x002e0,0xb4000260,"cbz x0, 0x32c"
0x002e4,0xb40001e1,"cbz x1, 0x320"
0x002e8,0xb4000162,"cbz x2, 0x314"
0x002ec,0xf0000385,"adrp x5, 0x73000"
0x002f0,0xf0000384,"adrp x4, 0x73000"
0x002f4,0xf94770a5,"ldr x5, [x5, #0xee0]"
0x002f8,0xf9475884,"ldr x4, [x4, #0xeb0]"
0x002fc,0xf947d863,"ldr x3, [x3, #0xfb0]"
0x00300,0xf90000a0,"str x0, [x5]"
0x00304,0xf9000081,"str x1, [x4]"
0x00308,0xf9000062,"str x2, [x3]"
0x0030c,0xf947e042,"ldr x2, [x2, #0xfc0]"
0x00310,0x17fffff4,"b 0x2e0"
0x00314,0xf947a021,"ldr x1, [x1, #0xf40]"
