addr,token,result
0,2177097736,"retl"
4,2919481367,"add o7,l7,l7"
8,2648948632,"save sp,-0x68,sp"
12,289406972,"sethi %hi(0xfffff000),o0"
16,2417106948,"or o0,0x4,o0"
20,788530039,"sethi %hi(0xddc00),l7"
24,2147483642,"call 0x0"
28,2919620948,"add l7,0x154,l7"
32,3758473224,"lduw [l7+o0],l0"
36,276824068,"ba 0x34"
40,2684624900,"add l0,0x4,l0"
44,2680291328,"jmpl o0+g0,o7"
52,3489923072,"lduw [l0+g0],o0"
56,2158108672,"cmp o0,0x0"
60,314572796,"bne 0x2c"
64,16777216,"nop"
68,2177359880,"ret"
72,2179465216,"restore"
76,0,"illtrap 0x0"
96,2417106956,"or o0,0xc,o0"
108,2919620868,"add l7,0x104,l7"
112,3523592200,"lduw [l7+o0],o1"
116,3489808384,"lduw [o1+g0],o0"
124,310378512,"bne 0xbc"
128,322961404,"sethi %hi(0xfffff000),o1"
140,2417106964,"or o0,0x14,o0"
144,2450677784,"or o1,0x18,o1"
148,3557146632,"lduw [l7+o0],o2"
152,3590701065,"lduw [l7+o1],o3"
156,3556933632,"lduw [o2+g0],o2"
160,3489841152,"lduw [o3+g0],o0"
164,2158133256,"cmp o2,o0"
168,41943045,"be 0xbc"
176,1073749198,"call 0x73e8"
180,2416967690,"mov o2,o0"
188,2450677776,"or o1,0x10,o1"
192,3624255497,"lduw [l7+o1],o4"
196,356515836,"sethi %hi(0xfffff000),o2"
200,2484248604,"or o2,0x1c,o2"
208,3523592202,"lduw [l7+o2],o1"
212,2417106976,"or o0,0x20,o0"
216,3590701064,"lduw [l7+o0],o3"
220,4062380032,"stw i1,[o4+g0]"
224,4095885312,"stw i2,[o1+g0]"
228,2416967704,"mov i0,o0"
232,4028809216,"stw i0,[o3+g0]"
236,2450522137,"mov i1,o1"
240,1073741992,"call 0x390"
244,2484076570,"mov i2,o2"
248,1073860142,"call 0x739b0"
252,2416967706,"mov i2,o0"
256,2147483586,"call 0x8"
272,2648948672,"save sp,-0x40,sp"
276,1073741826,"call 0x11c"
284,2920669272,"or l7,0x58,l7"
288,2919612431,"add l7,o7,l7"
292,624951292,"sethi %hi(0xfffff000),l2"
296,2752815140,"or l2,0x24,l2"
300,3825582098,"lduw [l7+l2],l2"
304,2158272512,"cmp l2,0x0"
312,658505724,"sethi %hi(0xfffff000),l3"
316,3825500160,"lduw [l2+g0],l2"
320,2157969426,"cmp g0,l2"
324,2757771263,"subc g0,-0x1,l2"
328,2786385932,"or l3,0xc,l3"
332,3859136531,"lduw [l7+l3],l3"
340,3827613696,"stw l2,[l3+g0]"
344,314572736,"bne 0x58"
352,3489898584,"lduw [sp+0x58],o0"
356,2449711196,"add sp,0x5c,o1"
360,2502565890,"sll o0,0x2,o2"
364,2483191817,"add o2,o1,o2"
368,281018298,"ba 0x58"
372,2483200004,"add o2,0x4,o2"
388,1073966905,"call 0xdbe68"
412,788530038,"sethi %hi(0xdd800),l7"
416,2147483643,"call 0x18c"
420,2919621580,"add l7,0x3cc,l7"
424,2417106984,"or o0,0x28,o0"
428,3624255496,"lduw [l7+o0],o4"
440,2450677804,"or o1,0x2c,o1"
444,2417106972,"or o0,0x1c,o0"
452,2502844418,"sll i1,0x2,o2"
464,3523411968,"lduw [o4+g0],o1"
468,2483453962,"add i2,o2,o2"
472,3490160732,"lduw [fp+0x5c],o0"
476,3559129088,"stw o2,[l0+g0]"
480,2158125056,"cmp o1,0x0"
484,41943044,"be 0x1f4"
488,3491938304,"stw o0,[o3+g0]"
492,1073741915,"call 0x358"
500,2158452736,"cmp i5,0x0"
512,1073967471,"call 0xdc7bc"
516,2416967709,"mov i5,o0"
524,2417106992,"or o0,0x30,o0"
528,4194680840,"lduw [l7+o0],i5"
532,3523690496,"lduw [i5+g0],o1"
540,41943047,"be 0x238"
548,2417106996,"or o0,0x34,o0"
556,2484084736,"mov 0x0,o2"
560,1073966952,"call 0xdbfd0"
564,2416975873,"mov 0x1,o0"
568,3557031936,"lduw [l0+g0],o2"
572,2416967705,"mov i1,o0"
576,1073967125,"call 0xdc294"
580,2450522138,"mov i2,o1"
584,2158436352,"cmp i4,0x0"
588,578813957,"be,a 0x260"
592,3490136064,"lduw [i5+g0],o0"
596,1073967450,"call 0xdc7bc"
600,2416967708,"mov i4,o0"
612,41943051,"be 0x290"
616,960495612,"sethi %hi(0xfffff000),i4"
624,2417107004,"or o0,0x3c,o0"
628,2484543544,"or i4,0x38,o2"
636,2551193600,"mov 0x0,o4"
640,3590701066,"lduw [l7+o2],o3"
648,1073966930,"call 0xdbfd0"
652,3557195776,"lduw [i2+g0],o2"
656,2158419968,"cmp i3,0x0"
668,2680602624,"jmpl i3+g0,o7"
684,41943050,"be 0x2d4"
692,2484248640,"or o2,0x40,o2"
696,2417434680,"or i4,0x38,o0"
716,1073966913,"call 0xdbfd0"
732,2680553472,"jmpl i0+g0,o7"
740,1073967567,"call 0xdca20"
760,2147483557,"call 0x18c"
764,2919621236,"add l7,0x274,l7"
768,1073966486,"call 0xdb958"
772,2450530305,"mov 0x1,o1"
776,2158116863,"cmp o0,-0x1"
780,310378513,"bne 0x350"
788,1073967549,"call 0xdca08"
