addr,token_value,token_type,result
0,4065351552,Four,"jarl 0xf250, r10"
4,1136192,Four,"movhi 0x11, r0, r10"
8,1027954474,Four,"ld.w 0x3d44[r10], r10"
12,6740,Two,"add -0xc, sp"
14,350051,Four,"st.w r10, 0x4[sp]"
22,604003,Four,"st.w r6, 0x8[sp]"
26,1028208426,Four,"ld.w 0x3d48[r10], r6"
34,51926570,Four,"movea 0x318, r10, r10"
38,87907,Four,"st.w r10, 0x0[sp]"
42,4066836352,Four,"jarl 0xf290, lp"
46,12801,Two,"mov 0x1, r6"
48,4141547392,Four,"jarl 0xf70a, lp"
52,4292615683,Four,"addi -0x24, sp, sp"
56,1167203,Four,"st.w r25, 0x10[sp]"
60,907107,Four,"st.w r26, 0xc[sp]"
64,647011,Four,"st.w r27, 0x8[sp]"
68,1168960,Four,"movhi 0x11, r0, r26"
72,1171008,Four,"movhi 0x11, r0, r27"
76,1101376,Four,"movhi 0x10, r0, r25"
80,1947491,Four,"st.w r22, 0x1c[sp]"
84,1687395,Four,"st.w r23, 0x18[sp]"
88,1427299,Four,"st.w r24, 0x14[sp]"
92,386915,Four,"st.w r28, 0x4[sp]"
96,2228067,Four,"st.w lp, 0x20[sp]"
100,126819,Four,"st.w r29, 0x0[sp]"
104,57350,Two,"mov r6, r28"
106,3220971011,Four,"addi -0x4004, sp, sp"
110,49159,Two,"mov r7, r24"
112,4127512122,Four,"movea -0x9fc, r26, r26"
116,4139572795,Four,"movea -0x944, r27, r27"
120,1073788448,Four,"movea 0x4000, r0, r22"
124,47617,Two,"mov 0x1, r23"
126,679661113,Four,"movea 0x2882, r25, r25"
